이미지 주소,브랜드,상품명,판매가격,원가,할인율,리뷰수,별점,상품 상세 이미지,중분류,소분류
https://cdn.chicor.com/images/product/20221005110028454.jpg?d=600x0,나스,래디언트 크리미 컨실러,39600,44000,10,220,100,['https://cdn.chicor.com/images/editor/20230201042739633.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20210705153951644.png?d=600x0,힌스,세컨 스킨 커버 컨실러,16150,17000,5,43,95,"['https://cdn.chicor.com/images/editor/20210507103934776.jpg', 'https://cdn.chicor.com/images/editor/20210507103939715.jpg', 'https://cdn.chicor.com/images/editor/20210507103944274.jpg', 'https://cdn.chicor.com/images/editor/20210507103949374.jpg', 'https://cdn.chicor.com/images/editor/20210507103954481.jpg', 'https://cdn.chicor.com/images/editor/20210507104000281.jpg', 'https://cdn.chicor.com/images/editor/20210507104005773.jpg', 'https://cdn.chicor.com/images/editor/20210507104012309.jpg', 'https://cdn.chicor.com/images/editor/20210507104017012.jpg', 'https://cdn.chicor.com/images/editor/20210507104021328.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20210319121544414.jpg?d=600x0,아멜리,프리핏 인앤아웃 컨실러,10800,12000,10,35,97,"['https://cdn.chicor.com/images/editor/20200701151419002.jpg', 'https://cdn.chicor.com/images/editor/20200701151424333.jpg', 'https://cdn.chicor.com/images/editor/20200701151429341.jpg', 'https://cdn.chicor.com/images/editor/20200701151434740.jpg', 'https://cdn.chicor.com/images/editor/20200701151441629.jpg', 'https://cdn.chicor.com/images/editor/20200701151446780.jpg', 'https://cdn.chicor.com/images/editor/20200701151451947.jpg', 'https://cdn.chicor.com/images/editor/20200701151456558.jpg', 'https://cdn.chicor.com/images/editor/20200701151500936.jpg', 'https://cdn.chicor.com/images/editor/20200701151506692.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20221122162902723.jpg?d=600x0,3CE,3CE 스킨 핏 커버 리퀴드 컨실러,13600,17000,20,15,93,"['https://cdn.chicor.com/images/editor/20221121084927297.jpg', 'https://cdn.chicor.com/images/editor/20221121085034712.jpg', 'https://cdn.chicor.com/images/editor/20221121085714522.jpg', 'https://cdn.chicor.com/images/editor/20221121085305480.jpg', 'https://cdn.chicor.com/images/editor/20221121085757765.jpg', 'https://cdn.chicor.com/images/editor/20221121085400155.jpg', 'https://cdn.chicor.com/images/editor/20221121085414184.jpg', 'https://cdn.chicor.com/images/editor/20221121085451104.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20210312094227418.jpg?d=600x0,정샘물,아티스트 컨실러 팔레트,34000,40000,15,6,100,"['https://cdn.chicor.com/images/editor/20210312094033223.jpg', 'https://cdn.chicor.com/images/editor/20210312094048552.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20210609152640070.jpg?d=600x0,제스젭,제스젭 멀티 컨실러,18000,20000,10,46,99,"['https://cdn.chicor.com/images/editor/20221130112643222.jpg', 'https://cdn.chicor.com/images/editor/20221130112649725.jpg', 'https://cdn.chicor.com/images/editor/20221130112656520.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20200519004248517.jpg?d=600x0,정샘물,스킨 누더 컨실러 SPF34/PA++,27000,30000,10,1,100,['https://cdn.chicor.com/images/editor/20200729143153267.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20220718090651656.jpg?d=600x0,바비브라운,바비브라운 스킨 컨실러 스틱,44200,52000,15,4,95,['https://cdn.chicor.com/images/editor/20220708101733359.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20200522093852683.jpg?d=600x0,베네피트,보-잉 케이크리스 컨실러,30600,36000,15,4,100,['https://cdn.chicor.com/images/editor/20200522074252808.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20230731171008400.jpg?d=600x0,아워글래스,배니쉬 에어브러쉬 컨실러,49500,55000,10,5,100,['https://cdn.chicor.com/images/editor/20230131154207011.png'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20221026090422335.jpg?d=600x0,바비브라운,바비브라운 스킨 풀 커버 컨실러,44200,52000,15,8,100,['https://cdn.chicor.com/images/editor/20221026090401938.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20200831163223820.jpg?d=600x0,헤라메이크업,블랙 컨실러 스프레드 커버,34000,40000,15,4,75,['https://cdn.chicor.com/images/editor/20220509105741275.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20230627122318903.jpg?d=600x0,제스젭,제스젭 멀티컨실러 1+1,18000,20000,10,0,0,"['https://cdn.chicor.com/images/editor/20230627122111185.jpg', 'https://cdn.chicor.com/images/editor/20230627122121782.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20210430135543778.jpg?d=600x0,메이크업포에버,매트 벨벳 스킨 멀티-유즈 컨실러,37400,44000,15,3,100,"['https://cdn.chicor.com/images/editor/20210430135325576.jpg', 'https://cdn.chicor.com/images/editor/20210430135330994.jpg', 'https://cdn.chicor.com/images/editor/20210430135334738.jpg', 'https://cdn.chicor.com/images/editor/20210430135338803.jpg', 'https://cdn.chicor.com/images/editor/20210430135342673.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20220217151103964.jpg?d=600x0,파넬,시카마누 스킨핏 커버 컨실러 21호,12000,12000,0,0,0,"['https://cdn.chicor.com/images/editor/20220217150901661.jpg', 'https://cdn.chicor.com/images/editor/20220217150908513.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20220221161030781.jpg?d=600x0,로라메르시에,틴티드 모이스춰라이저 라이트 리빌러,74700,83000,10,0,0,['https://cdn.chicor.com/images/editor/20220304143703028.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20231102103000725.jpg?d=600x0,딘토,운초 라이트베일 컨실러,15200,19000,20,3,100,"['https://cdn.chicor.com/images/editor/20230707164617193.jpg', 'https://cdn.chicor.com/images/editor/20231102102635869.jpg', 'https://cdn.chicor.com/images/editor/20231102102709942.jpg', 'https://cdn.chicor.com/images/editor/20231102102727302.jpg', 'https://cdn.chicor.com/images/editor/20231102102815535.jpg', 'https://cdn.chicor.com/images/editor/20230707164641773.jpg', 'https://cdn.chicor.com/images/editor/20230707164646486.jpg', 'https://cdn.chicor.com/images/editor/20230707164651207.jpg', 'https://cdn.chicor.com/images/editor/20230707164656997.gif', 'https://cdn.chicor.com/images/editor/20230707164701541.jpg', 'https://cdn.chicor.com/images/editor/20230707164706359.jpg', 'https://cdn.chicor.com/images/editor/20230707164712192.jpg', 'https://cdn.chicor.com/images/editor/20230707164717092.jpg', 'https://cdn.chicor.com/images/editor/20230707164722136.jpg', 'https://cdn.chicor.com/images/editor/20230707164726770.jpg', 'https://cdn.chicor.com/images/editor/20230707164731305.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20220208103945782.jpg?d=600x0,맥,프로 롱웨어 컨실러,39100,46000,15,0,0,['https://cdn.chicor.com/images/editor/20220208102740370.jpg'],베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20221124093447186.jpg?d=600x0,아임미미,NEW 아임미미 컨실러,9600,12000,20,6,100,"['https://cdn.chicor.com/images/editor/20221130103119394.jpg', 'https://cdn.chicor.com/images/editor/20221130103130053.jpg']",베이스메이크업,컨실러
https://cdn.chicor.com/images/product/20230615202713916.jpg?d=600x0,헉슬리,릴렉싱 컨실러 스테이 선 세이프,14250,15000,5,0,0,"['https://cdn.chicor.com/images/editor/20200923185823497.jpg', 'https://cdn.chicor.com/images/editor/20230615202546053.jpg']",베이스메이크업,컨실러
